frequency,location,lat,lon,mode,alphatag
30.6,LONGREACH,-23.659267,144.147773,30K0P0N,
31.1,NATIONWIDE,-27.84,133.21,36K0F3E,
31.15,NATIONWIDE,-27.84,133.21,26K0F3E,
31.2,NATIONWIDE,-27.84,133.21,36K0F3E,
31.25,NATIONWIDE,-27.84,133.21,26K0F3E,
31.3,NATIONWIDE,-27.84,133.21,36K0F3E,
33,NATIONWIDE,-27.84,133.21,36K0F3E,
33.05,NATIONWIDE,-27.84,133.21,36K0F3E,
33.1,NATIONWIDE,-27.84,133.21,26K0F3E,
33.15,NATIONWIDE,-27.84,133.21,26K0F3E,
33.2,LONGREACH,-23.659267,144.147773,30K0P0N,
33.2,NATIONWIDE,-27.84,133.21,26K0F3E,
33.25,NATIONWIDE,-27.84,133.21,26K0F3E,
33.35,NATIONWIDE,-27.84,133.21,26K0F3E,
33.4,NATIONWIDE,-27.84,133.21,26K0F3E,
33.5,NATIONWIDE,-27.84,133.21,36K0F3E,
33.6,NATIONWIDE,-27.84,133.21,36K0F3E,
37.1,NATIONWIDE,-27.84,133.21,36K0F3E,
37.3,NATIONWIDE,-27.84,133.21,36K0F3E,
37.8,NATIONWIDE,-27.84,133.21,26K0F3E,
37.85,NATIONWIDE,-27.84,133.21,26K0F3E,
37.95,NATIONWIDE,-27.84,133.21,26K0F3E,
38,NATIONWIDE,-27.84,133.21,36K0F3E,
39.3,NATIONWIDE,-27.84,133.21,36K0F3E,
39.35,NATIONWIDE,-27.84,133.21,26K0F3E,
39.4,NATIONWIDE,-27.84,133.21,26K0F3E,
39.45,NATIONWIDE,-27.84,133.21,36K0F3E,
39.7,LONGREACH,-23.659267,144.147773,100HP0N,
39.7,NATIONWIDE,-27.84,133.21,36K0F3E,
40.2,NATIONWIDE,-27.84,133.21,36K0F3E,
40.4,NATIONWIDE,-27.84,133.21,36K0F3E,
40.8,NATIONWIDE,-27.84,133.21,36K0F3E,
40.85,NATIONWIDE,-27.84,133.21,36K0F3E,
41,NATIONWIDE,-27.84,133.21,36K0F3E,
42,NATIONWIDE,-27.84,133.21,36K0F3E,
42.3,NATIONWIDE,-27.84,133.21,26K0F3E,
42.35,NATIONWIDE,-27.84,133.21,36K0F3E,
42.4,NATIONWIDE,-27.84,133.21,36K0F3E,
42.6,NATIONWIDE,-27.84,133.21,36K0F3E,
44,NATIONWIDE,-27.84,133.21,26K0F3E,
44.1,NATIONWIDE,-27.84,133.21,36K0F3E,
44.2,NATIONWIDE,-27.84,133.21,36K0F3E,
44.45,NATIONWIDE,-27.84,133.21,26K0F3E,
44.5,NATIONWIDE,-27.84,133.21,26K0F3E,
44.6,NATIONWIDE,-27.84,133.21,36K0F3E,
44.8,NATIONWIDE,-27.84,133.21,36K0F3E,
44.99995,LONGREACH,-23.659267,144.147773,100HP0N,
45,NATIONWIDE,-27.84,133.21,26K0F3E,
45.2,NATIONWIDE,-27.84,133.21,36K0F3E,
45.65,NATIONWIDE,-27.84,133.21,36K0F3E,
45.7,NATIONWIDE,-27.84,133.21,36K0F3E,
45.725,NATIONWIDE,-27.84,133.21,16K0F3E,
45.9,NATIONWIDE,-27.84,133.21,36K0F3E,
46.2,NATIONWIDE,-27.84,133.21,36K0F3E,
46.9,NATIONWIDE,-27.84,133.21,36K0F3E,
46.95,NATIONWIDE,-27.84,133.21,36K0F3E,
47.4,NATIONWIDE,-27.84,133.21,36K0F3E,
47.5,NATIONWIDE,-27.84,133.21,5M00XXX,
47.6,NATIONWIDE,-27.84,133.21,36K0F3E,
47.8,NATIONWIDE,-27.84,133.21,36K0F3E,
48.1,NATIONWIDE,-27.84,133.21,36K0F3E,
48.3,NATIONWIDE,-27.84,133.21,36K0F3E,
48.6,NATIONWIDE,-27.84,133.21,36K0F3E,
48.75,NATIONWIDE,-27.84,133.21,26K0F3E,
48.9,NATIONWIDE,-27.84,133.21,36K0F3E,
49,NATIONWIDE,-27.84,133.21,26K0F3E,
49.05,NATIONWIDE,-27.84,133.21,26K0F3E,
49.1,NATIONWIDE,-27.84,133.21,36K0F3E,
49.2,NATIONWIDE,-27.84,133.21,26K0F3E,
49.25,NATIONWIDE,-27.84,133.21,26K0F3E,
49.35,NATIONWIDE,-27.84,133.21,26K0F3E,
49.45,NATIONWIDE,-27.84,133.21,26K0F3E,
49.5,NATIONWIDE,-27.84,133.21,26K0F3E,
49.55,NATIONWIDE,-27.84,133.21,26K0F3E,
49.6,NATIONWIDE,-27.84,133.21,36K0F3E,
49.65,NATIONWIDE,-27.84,133.21,26K0F3E,
49.7,NATIONWIDE,-27.84,133.21,26K0F3E,
49.75,NATIONWIDE,-27.84,133.21,36K0F3E,
49.875,NATIONWIDE,-27.84,133.21,16K0F3E,
50.05,NATIONWIDE,-27.84,133.21,26K0F3E,
50.2,NATIONWIDE,-27.84,133.21,36K0F3E,
50.25,NATIONWIDE,-27.84,133.21,26K0F3E,
50.35,NATIONWIDE,-27.84,133.21,26K0F3E,
50.4,NATIONWIDE,-27.84,133.21,36K0F3E,
50.45,NATIONWIDE,-27.84,133.21,26K0F3E,
50.5,NATIONWIDE,-27.84,133.21,26K0F3E,
50.55,NATIONWIDE,-27.84,133.21,26K0F3E,
50.65,NATIONWIDE,-27.84,133.21,26K0F3E,
50.7,NATIONWIDE,-27.84,133.21,26K0F3E,
50.8,NATIONWIDE,-27.84,133.21,36K0F3E,
50.85,NATIONWIDE,-27.84,133.21,26K0F3E,
50.95,NATIONWIDE,-27.84,133.21,26K0F3E,
51,NATIONWIDE,-27.84,133.21,36K0F3E,
51.3,NATIONWIDE,-27.84,133.21,26K0F3E,
